support,itemsets
0.1948,frozenset({'Pasta'})
0.1931,frozenset({'Oil'})
0.193,frozenset({'Sugar'})
0.1897,frozenset({'Salt'})
0.187,frozenset({'Wheat'})
0.183,frozenset({'Cereal'})
0.1825,frozenset({'Rice'})
0.1388,frozenset({'Camera'})
0.137,frozenset({'Laptop'})
0.1345,frozenset({'Mobile'})
0.1343,frozenset({'Headphones'})
0.0973,frozenset({'Vitamins'})
0.0969,frozenset({'Painkillers'})
0.0929,frozenset({'Prescription Medicine'})
0.0762,frozenset({'Action Figures'})
0.0739,frozenset({'Bleach'})
0.073,frozenset({'Fiction'})
0.0727,frozenset({'Golf Clubs'})
0.0722,frozenset({'Academic'})
0.0722,frozenset({'Shirt'})
0.0721,frozenset({'Dolls'})
0.072,frozenset({'Board Games'})
0.072,frozenset({'Detergent'})
0.0719,frozenset({'Markers'})
0.0718,frozenset({'Non-fiction'})
0.0717,frozenset({'Football'})
0.0716,frozenset({'Puzzles'})
0.0714,frozenset({'Acid'})
0.0711,frozenset({'Tennis Rackets'})
0.0707,frozenset({'Basketball'})
0.0704,frozenset({'Notebooks'})
0.0703,frozenset({'Cutlery'})
0.07,frozenset({'Pants'})
0.0699,frozenset({'Shoes'})
0.0699,frozenset({'Alkali'})
0.0696,frozenset({'Pens'})
0.0685,frozenset({'Jacket'})
0.0681,frozenset({'Plates'})
0.0673,frozenset({'Pans'})
0.0672,frozenset({'Comics'})
0.0665,frozenset({'Staplers'})
0.0663,frozenset({'Pots'})
0.0493,frozenset({'Paint'})
0.0455,frozenset({'Alcohol'})
0.0447,"frozenset({'Rice', 'Pasta'})"
0.0443,frozenset({'Gasoline'})
0.043,"frozenset({'Sugar', 'Pasta'})"
0.0414,"frozenset({'Oil', 'Sugar'})"
0.041,"frozenset({'Sugar', 'Wheat'})"
0.0406,"frozenset({'Salt', 'Pasta'})"
0.0404,"frozenset({'Salt', 'Cereal'})"
0.0401,"frozenset({'Salt', 'Sugar'})"
0.04,"frozenset({'Cereal', 'Pasta'})"
0.04,"frozenset({'Salt', 'Oil'})"
0.0399,frozenset({'Pet Care Products'})
0.0398,"frozenset({'Cereal', 'Sugar'})"
0.0394,frozenset({'Lipstick'})
0.0394,"frozenset({'Salt', 'Wheat'})"
0.0392,"frozenset({'Pasta', 'Wheat'})"
0.0389,"frozenset({'Oil', 'Pasta'})"
0.0381,"frozenset({'Oil', 'Wheat'})"
0.0381,"frozenset({'Rice', 'Sugar'})"
0.038,"frozenset({'Oil', 'Cereal'})"
0.0377,frozenset({'Screws'})
0.0377,frozenset({'Hammers'})
0.0376,"frozenset({'Cereal', 'Wheat'})"
0.0375,frozenset({'Pet Beds'})
0.0374,frozenset({'Car Oil'})
0.0374,frozenset({'Plant Pots'})
0.0371,frozenset({'Gardening Tools'})
0.0371,frozenset({'Couch'})
0.0371,"frozenset({'Oil', 'Rice'})"
0.0369,"frozenset({'Salt', 'Rice'})"
0.0365,"frozenset({'Cereal', 'Rice'})"
0.0364,frozenset({'Batteries'})
0.0362,frozenset({'Wipers'})
0.0362,"frozenset({'Rice', 'Wheat'})"
0.0362,frozenset({'Foundation'})
0.0361,frozenset({'Tires'})
0.0358,frozenset({'Eyeliner'})
0.0358,frozenset({'Pet Toys'})
0.0358,frozenset({'Nails'})
0.0358,frozenset({'Fertilizer'})
0.0356,frozenset({'Chair'})
0.035,frozenset({'Drills'})
0.035,frozenset({'Mascara'})
0.0346,frozenset({'Seeds'})
0.0343,frozenset({'Bed'})
0.0334,frozenset({'Table'})
0.0331,"frozenset({'Laptop', 'Oil'})"
0.0322,"frozenset({'Camera', 'Salt'})"
0.0311,frozenset({'Pet Food'})
0.0304,"frozenset({'Camera', 'Oil'})"
0.0303,"frozenset({'Camera', 'Rice'})"
0.0303,"frozenset({'Laptop', 'Salt'})"
0.0301,"frozenset({'Headphones', 'Rice'})"
0.0298,"frozenset({'Camera', 'Pasta'})"
0.0298,"frozenset({'Laptop', 'Pasta'})"
0.0297,"frozenset({'Laptop', 'Sugar'})"
0.0292,"frozenset({'Camera', 'Sugar'})"
0.0287,"frozenset({'Headphones', 'Sugar'})"
0.0286,"frozenset({'Headphones', 'Wheat'})"
0.0285,"frozenset({'Oil', 'Headphones'})"
0.0285,"frozenset({'Mobile', 'Cereal'})"
0.0284,"frozenset({'Mobile', 'Sugar'})"
0.0283,"frozenset({'Mobile', 'Pasta'})"
0.0281,"frozenset({'Laptop', 'Cereal'})"
0.0281,"frozenset({'Camera', 'Cereal'})"
0.028,"frozenset({'Mobile', 'Oil'})"
0.0279,"frozenset({'Camera', 'Wheat'})"
0.0278,"frozenset({'Salt', 'Headphones'})"
0.0277,"frozenset({'Cereal', 'Headphones'})"
0.0276,"frozenset({'Headphones', 'Pasta'})"
0.0275,"frozenset({'Mobile', 'Salt'})"
0.0275,"frozenset({'Laptop', 'Wheat'})"
0.027,"frozenset({'Laptop', 'Rice'})"
0.0263,"frozenset({'Mobile', 'Wheat'})"
0.0254,"frozenset({'Mobile', 'Rice'})"
0.0224,"frozenset({'Vitamins', 'Sugar'})"
0.0218,"frozenset({'Oil', 'Prescription Medicine'})"
